Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,,
EP,Pesticides,208,Tajikistan,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,0.31,Fc,Calculated data,,
EP,Pesticides,216,Thailand,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,1.02,Fc,Calculated data,,
EP,Pesticides,154,North Macedonia,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,0.21,Fc,Calculated data,,
EP,Pesticides,176,Timor-Leste,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,0.01,Fc,Calculated data,,
EP,Pesticides,217,Togo,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,0.46,Fc,Calculated data,,
EP,Pesticides,219,Tonga,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,0.52,Fc,Calculated data,,
EP,Pesticides,220,Trinidad and Tobago,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,24.91,Fc,Calculated data,,
EP,Pesticides,222,Tunisia,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,0.19,Fc,Calculated data,,
EP,Pesticides,223,Turkey,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,2.11,Fc,Calculated data,,
EP,Pesticides,213,Turkmenistan,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,4.86,Fc,Calculated data,,
EP,Pesticides,226,Uganda,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,0.01,Fc,Calculated data,,
EP,Pesticides,230,Ukraine,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,2.32,Fc,Calculated data,,
EP,Pesticides,229,United Kingdom,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,3.17,Fc,Calculated data,,
EP,Pesticides,215,United Republic of Tanzania,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,0,Fc,Calculated data,,
EP,Pesticides,231,United States of America,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,2.63,Fc,Calculated data,,
EP,Pesticides,234,Uruguay,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,5.46,Fc,Calculated data,,
EP,Pesticides,155,Vanuatu,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,0.9,Fc,Calculated data,,
EP,Pesticides,236,Venezuela (Bolivarian Republic of),5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,1.16,Fc,Calculated data,,
EP,Pesticides,237,Viet Nam,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,1.66,Fc,Calculated data,,
EP,Pesticides,249,Yemen,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,0.07,Fc,Calculated data,,
EP,Pesticides,251,Zambia,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,0.44,Fc,Calculated data,,
EP,Pesticides,181,Zimbabwe,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,0.53,Fc,Calculated data,,
